file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,171,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,13
style.css,172,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,18
style.css,173,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,174,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,32
style.css,175,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,20
style.css,176,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,9
style.css,177,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,12
style.css,178,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,8
style.css,179,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,180,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,41
style.css,181,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,18
style.css,182,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,12
style.css,183,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,30
style.css,184,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,8
style.css,185,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,2,17
style.css,186,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,187,css,f608125f,Surya Setty,2025-04-28,20:42:50,-07:00,2025-04-28T20:42:50-07:00,0,34
style.css,188,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,14
style.css,189,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,15
style.css,190,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,48
style.css,191,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,192,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,193,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,17
style.css,194,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,12
style.css,195,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,36
style.css,196,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,10
style.css,197,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,15
style.css,198,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,199,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,200,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,17
style.css,201,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,16
style.css,202,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,15
style.css,203,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,13
style.css,204,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,21
style.css,205,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,206,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,207,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,17
style.css,208,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,14
style.css,209,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,15
style.css,210,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,13
style.css,211,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,8
style.css,212,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,213,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,214,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,30
style.css,215,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,21
style.css,216,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,24
style.css,217,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,17
style.css,218,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,15
style.css,219,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,36
style.css,220,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,52
